weight,simple_fraction,pattern,positions
0.3965170308,1.0,"1,1,1,1",regular grid representative
0.1745931378,0.5,"2,1,1",0; 0.52717; 0.26781
0.3447001402,0.5,"2,1,1",0; 0.46800; 0.72947
0.0841896912,0.5,"2,1,1",0; 0.27238; 0.72762
