N,M_grid,num_configurations,min_simple_fraction,min_simple_percent
4,8,266,0.7133883476483185,71.33883476483184
4,12,1221,0.7083333333333335,70.83333333333334
4,16,3620,0.7047980408696347,70.47980408696347
4,24,16974,0.7018283569219945,70.18283569219945
5,10,1452,0.7094427190999917,70.94427190999917
5,15,9828,0.7035645131348263,70.35645131348262
5,20,38304,0.7004600811607676,70.04600811607676
6,12,8074,0.7073361559760488,70.73361559760488
6,18,80580,0.7009660143362452,70.09660143362451
7,14,45474,0.7060782587560126,70.60782587560126
8,16,258570,0.7052667372585014,70.52667372585015
