Generated at 17:42 (eastern) on Wednesday 03 June 2026
Params: cond_upper_bound=None, cond_lower_bound=None
BSD(E,2) check: run (output verified)
Run took: 7 minutes 53 seconds

cremona_label,source,lmfdb_label
3531d1, CLZ20, 3531.d2
3646a1, CLZ20, 3646.a2
3714e1, CLZ20, 3714.g1
3758d1, CLZ20, 3758.a2
3794a1, CLZ20, 3794.a2
3891a1, CLZ20, 3891.a2
3902e1, CLZ20, 3902.e2
3954a1, CLZ20, 3954.d1
3998b1, CLZ20, 3998.c2
4066c1, CLZ20, 4066.d1
4071a1, CLZ20, 4071.a1
4078a1, CLZ20, 4078.a2
4098j1, CLZ20, 4098.j1
4101b1, CLZ20, 4101.b2
4146a1, CLZ20, 4146.a1
4162a1, CLZ20, 4162.a2
4173b1, CLZ20, 4173.b2
4178b1, CLZ20, 4178.b2
4245a1, CLZ20, 4245.a1
4286d1, CLZ20, 4286.f2
4317a1, CLZ20, 4317.a2
4323a1, CLZ20, 4323.a2
4354b1, CLZ20, 4354.e2
4387b1, CLZ20, 4387.b2
4434b1, CLZ20, 4434.d1
4531b1, CLZ20, 4531.a2
4605b1, CLZ20, 4605.d1
4642b1, CLZ20, 4642.c1
4677a1, CLZ20, 4677.a2
4683b1, CLZ20, 4683.c1
4717c1, CLZ20, 4717.b2
4722c1, CLZ20, 4722.a1
4807a1, CLZ20, 4807.a2
4821b1, CLZ20, 4821.b2
4827d1, CLZ20, 4827.e2
4834b1, CLZ20, 4834.b2
4882a1, CLZ20, 4882.a2
4898c1, CLZ20, 4898.c2
4907b1, CLZ20, 4907.d2
4946a1, CLZ20, 4946.a2
4962d1, CLZ20, 4962.d1
4963c1, CLZ20, 4963.e2
4971a1, CLZ20, 4971.c2
4978a1, CLZ20, 4978.a1
5074a1, CLZ20, 5074.a1
5154a1, CLZ20, 5154.a1
5159c1, CLZ20, 5159.d1
5205c1, CLZ20, 5205.c1
5259c1, CLZ20, 5259.c2
5269a1, CLZ20, 5269.a2
5271d1, CLZ20, 5271.b2
5298a1, CLZ20, 5298.a1
5362a1, CLZ20, 5362.a2
5442b1, CLZ20, 5442.b1
5511d1, CLZ20, 5511.d1
5533a1, CLZ20, 5533.a2
5663a1, CLZ20, 5663.a2
5691f1, CLZ20, 5691.g1
5731a1, CLZ20, 5731.a2
5794b1, CLZ20, 5794.c2
5826f1, CLZ20, 5826.f1
5938a1, CLZ20, 5938.a2
5973a1, CLZ20, 5973.a2
5983a1, CLZ20, 5983.a2
6005a1, CLZ20, 6005.b2
6041a1, CLZ20, 6041.a2
6051c1, CLZ20, 6051.b2
6099a1, CLZ20, 6099.a2
6103b1, CLZ20, 6103.a2
6103a1, CLZ20, 6103.b2
6114a1, CLZ20, 6114.b1
6181b1, CLZ20, 6181.c2
6226e1, CLZ20, 6226.c1
