target,q,sigma,max_local_shift_exponent_in_T,max_local_shift_exponent_in_prime_scale_X,flat_taper_diagonal_weight_from_m_ge_T,classical_unconditional_Selberg_PNT_scale_exponent,gap_below_1_over_6,inside_classical_HL_to_alpha_below_2_regime
P70,0.7,1.042628,0.04262800000000011,0.040885147914692554,0.004878099116194745,0.16666666666666666,0.1257815187519741,True
P80,0.8,1.257848,0.2578480000000001,0.20499138210658208,0.10883632312437697,0.16666666666666666,-0.03832471543991542,True
P90,0.9,1.701455,0.7014549999999999,0.4122677355557449,0.36975214507864057,0.16666666666666666,-0.24560106888907826,True
P95,0.95,2.26079,1.26079,0.5576767413160886,0.5861313763302981,0.16666666666666666,-0.39101007464942195,False
P99,0.99,4.187215,3.187215,0.7611777756814494,0.8561347904755949,0.16666666666666666,-0.5945111090147828,False
