curve_label,twist,reason,algorithm1_failure_class
730c1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
730c1,41,UPSTREAM_BASE_REMOVAL,A3_ONLY
730c1,89,UPSTREAM_BASE_REMOVAL,A3_ONLY
730c1,329,UPSTREAM_BASE_REMOVAL,A3_ONLY
730c1,401,UPSTREAM_BASE_REMOVAL,A3_ONLY
730c1,649,UPSTREAM_BASE_REMOVAL,A3_ONLY
730c1,721,UPSTREAM_BASE_REMOVAL,A3_ONLY
730c1,809,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,209,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,229,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,269,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,349,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,401,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,461,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,469,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,541,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,569,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,581,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,601,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,641,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,649,UPSTREAM_BASE_REMOVAL,A3_ONLY
755e1,701,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,29,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,161,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,241,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,269,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,349,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,401,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,461,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,521,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,541,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,569,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,589,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,601,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,701,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,709,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,749,UPSTREAM_BASE_REMOVAL,A3_ONLY
755f1,829,UPSTREAM_BASE_REMOVAL,A3_ONLY
782d1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
782d1,257,UPSTREAM_BASE_REMOVAL,A3_ONLY
782d1,353,UPSTREAM_BASE_REMOVAL,A3_ONLY
782d1,553,UPSTREAM_BASE_REMOVAL,A3_ONLY
782d1,577,UPSTREAM_BASE_REMOVAL,A3_ONLY
782d1,593,UPSTREAM_BASE_REMOVAL,A3_ONLY
782d1,761,UPSTREAM_BASE_REMOVAL,A3_ONLY
874a1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
874a1,73,UPSTREAM_BASE_REMOVAL,A3_ONLY
874a1,353,UPSTREAM_BASE_REMOVAL,A3_ONLY
874a1,473,UPSTREAM_BASE_REMOVAL,A3_ONLY
874a1,593,UPSTREAM_BASE_REMOVAL,A3_ONLY
