curve_label,status,old_index,new_index,old_source,new_source,old_lmfdb_label,new_lmfdb_label
2365c1,REMOVED,4103,,Zha16_no_2_tors,,2365.b1,
2378b1,REMOVED,4107,,Zha16_no_2_tors,,2378.c1,
2390a1,REMOVED,4109,,Zha16_no_2_tors,,2390.a1,
2390b1,REMOVED,4110,,Zha16_no_2_tors,,2390.c1,
2414c1,REMOVED,4113,,Zha16_no_2_tors,,2414.e1,
2414g1,REMOVED,4114,,Zha16_no_2_tors,,2414.g1,
2435a1,REMOVED,4118,,Zha16_no_2_tors,,2435.a1,
2518c1,REMOVED,4129,,Zha16_no_2_tors,,2518.c2,
2534f1,REMOVED,4131,,Zha16_no_2_tors,,2534.i1,
2534i1,REMOVED,4130,,Zha16_no_2_tors,,2534.g2,
2563b1,REMOVED,4138,,Zha16_no_2_tors,,2563.c2,
2590c1,REMOVED,4141,,Zha16_no_2_tors,,2590.a2,
2627b1,REMOVED,4155,,Zha16_no_2_tors,,2627.b1,
2638c1,REMOVED,4158,,Zha16_no_2_tors,,2638.a1,
2681a1,REMOVED,4162,,Zha16_no_2_tors,,2681.a1,
2710f1,REMOVED,4168,,Zha16_no_2_tors,,2710.e1,
2726c1,REMOVED,4170,,Zha16_no_2_tors,,2726.a2,
2771a1,REMOVED,4178,,Zha16_no_2_tors,,2771.a2,
2773a1,REMOVED,4179,,Zha16_no_2_tors,,2773.a1,
2822a1,REMOVED,4185,,Zha16_no_2_tors,,2822.b1,
2834b1,REMOVED,4188,,Zha16_no_2_tors,,2834.b1,
2834d1,REMOVED,4189,,Zha16_no_2_tors,,2834.e1,
2846c1,REMOVED,4191,,Zha16_no_2_tors,,2846.c1,
2914e1,REMOVED,4195,,Zha16_no_2_tors,,2914.h1,
2915b1,REMOVED,4197,,Zha16_no_2_tors,,2915.d1,
2938c1,REMOVED,4200,,Zha16_no_2_tors,,2938.a2,
2978a1,REMOVED,4202,,Zha16_no_2_tors,,2978.a1,
3014a1,REMOVED,4207,,Zha16_no_2_tors,,3014.c1,
3094h1,REMOVED,4215,,Zha16_no_2_tors,,3094.e2,
3166b1,REMOVED,4228,,Zha16_no_2_tors,,3166.c1,
3190a1,REMOVED,4229,,Zha16_no_2_tors,,3190.a2,
3230b1,REMOVED,4233,,Zha16_no_2_tors,,3230.b2,
3230c1,REMOVED,4235,,Zha16_no_2_tors,,3230.g1,
3235b1,REMOVED,4236,,Zha16_no_2_tors,,3235.b1,
3254b1,REMOVED,4238,,Zha16_no_2_tors,,3254.b1,
3266a1,REMOVED,4240,,Zha16_no_2_tors,,3266.a1,
3266d1,REMOVED,4241,,Zha16_no_2_tors,,3266.b1,
3278a1,REMOVED,4245,,Zha16_no_2_tors,,3278.c1,
3278d1,REMOVED,4246,,Zha16_no_2_tors,,3278.e1,
3386a1,REMOVED,4258,,Zha16_no_2_tors,,3386.a1,
3421b1,REMOVED,4260,,Zha16_no_2_tors,,3421.b1,
3493b1,REMOVED,4272,,Zha16_no_2_tors,,3493.a1,
3514c1,REMOVED,4274,,Zha16_no_2_tors,,3514.b2,
3590b1,REMOVED,4279,,Zha16_no_2_tors,,3590.a2,
3605c1,REMOVED,4281,,Zha16_no_2_tors,,3605.c3,
3670b1,REMOVED,4294,,Zha16_no_2_tors,,3670.a1,
3707a1,REMOVED,4298,,Zha16_no_2_tors,,3707.a1,
3770f1,REMOVED,4307,,Zha16_no_2_tors,,3770.d1,
3781a1,REMOVED,4311,,Zha16_no_2_tors,,3781.a1,
3962c1,REMOVED,4333,,Zha16_no_2_tors,,3962.c3,
3995e1,REMOVED,4343,,Zha16_no_2_tors,,3995.b1,
4010b1,REMOVED,4345,,Zha16_no_2_tors,,4010.d1,
4011d1,REMOVED,4346,,Zha16_no_2_tors,,4011.a2,
4042a1,REMOVED,4352,,Zha16_no_2_tors,,4042.a1,
4045a1,REMOVED,4354,,Zha16_no_2_tors,,4045.a2,
4066a1,REMOVED,4355,,Zha16_no_2_tors,,4066.a1,
4070c1,REMOVED,4356,,Zha16_no_2_tors,,4070.c1,
4094d1,REMOVED,4364,,Zha16_no_2_tors,,4094.d1,
4154a1,REMOVED,4368,,Zha16_no_2_tors,,4154.a1,
4294c1,REMOVED,4386,,Zha16_no_2_tors,,4294.e1,
4294d1,REMOVED,4383,,Zha16_no_2_tors,,4294.a1,
4294h1,REMOVED,4387,,Zha16_no_2_tors,,4294.f2,
4307b1,REMOVED,4388,,Zha16_no_2_tors,,4307.a1,
4387a1,REMOVED,4398,,Zha16_no_2_tors,,4387.a2,
