curve_label,twist,source,lmfdb_label,conductor,reason
899b1,753,Zha16_no_2_tors,899.b1,899,STABLE_BASE_ALGORITHM2_REMOVAL
899b1,789,Zha16_no_2_tors,899.b1,899,STABLE_BASE_ALGORITHM2_REMOVAL
899b1,993,Zha16_no_2_tors,899.b1,899,STABLE_BASE_ALGORITHM2_REMOVAL
905b1,201,Zha16_no_2_tors,905.a1,905,STABLE_BASE_ALGORITHM2_REMOVAL
905b1,501,Zha16_no_2_tors,905.a1,905,STABLE_BASE_ALGORITHM2_REMOVAL
905b1,681,Zha16_no_2_tors,905.a1,905,STABLE_BASE_ALGORITHM2_REMOVAL
905b1,849,Zha16_no_2_tors,905.a1,905,STABLE_BASE_ALGORITHM2_REMOVAL
905b1,921,Zha16_no_2_tors,905.a1,905,STABLE_BASE_ALGORITHM2_REMOVAL
914b1,57,Zha16_no_2_tors,914.b1,914,STABLE_BASE_ALGORITHM2_REMOVAL
914b1,321,Zha16_no_2_tors,914.b1,914,STABLE_BASE_ALGORITHM2_REMOVAL
914b1,393,Zha16_no_2_tors,914.b1,914,STABLE_BASE_ALGORITHM2_REMOVAL
914b1,465,Zha16_no_2_tors,914.b1,914,STABLE_BASE_ALGORITHM2_REMOVAL
914b1,489,Zha16_no_2_tors,914.b1,914,STABLE_BASE_ALGORITHM2_REMOVAL
914b1,681,Zha16_no_2_tors,914.b1,914,STABLE_BASE_ALGORITHM2_REMOVAL
914b1,849,Zha16_no_2_tors,914.b1,914,STABLE_BASE_ALGORITHM2_REMOVAL
914b1,921,Zha16_no_2_tors,914.b1,914,STABLE_BASE_ALGORITHM2_REMOVAL
914b1,993,Zha16_no_2_tors,914.b1,914,STABLE_BASE_ALGORITHM2_REMOVAL
973a1,57,Zha16_no_2_tors,973.b1,973,STABLE_BASE_ALGORITHM2_REMOVAL
973a1,309,Zha16_no_2_tors,973.b1,973,STABLE_BASE_ALGORITHM2_REMOVAL
973a1,597,Zha16_no_2_tors,973.b1,973,STABLE_BASE_ALGORITHM2_REMOVAL
973a1,669,Zha16_no_2_tors,973.b1,973,STABLE_BASE_ALGORITHM2_REMOVAL
973a1,681,Zha16_no_2_tors,973.b1,973,STABLE_BASE_ALGORITHM2_REMOVAL
973a1,933,Zha16_no_2_tors,973.b1,973,STABLE_BASE_ALGORITHM2_REMOVAL
974b1,33,Zha16_no_2_tors,974.a1,974,STABLE_BASE_ALGORITHM2_REMOVAL
