record extra_count=1 anchor=[7, 4501] rows=[3788850, 9039030, 71681610] extra=[9023]
record extra_count=2 anchor=[615, 4502] rows=[15174000, 951288624, 85551768000] extra=[33270, 126330]
record extra_count=3 anchor=[2040, 4520] rows=[7780500, 22813056, 643104000] extra=[9624, 14295, 19560]
progress q=4600 range=[4501,6000] anchors=455050 eligible=421968
progress q=4700 range=[4501,6000] anchors=920100 eligible=853528
progress q=4800 range=[4501,6000] anchors=1395150 eligible=1294534
progress q=4900 range=[4501,6000] anchors=1880200 eligible=1745082
progress q=5000 range=[4501,6000] anchors=2375250 eligible=2205192
progress q=5100 range=[4501,6000] anchors=2880300 eligible=2674565
progress q=5200 range=[4501,6000] anchors=3395350 eligible=3153528
progress q=5300 range=[4501,6000] anchors=3920400 eligible=3641989
progress q=5400 range=[4501,6000] anchors=4455450 eligible=4139724
