curve_label,source,conductor,generator_twists,old_source_replayed_twists,current_twists,removed_by_new_gcd,added_by_disc_gate_deletion,hidden_both_blocked,semantic_class
77266a1,Zha16_no_2_tors,77266,4,4,4,0,0,0,UNCHANGED
77353a1,CLZ20,77353,1,1,1,0,0,0,UNCHANGED
77358a1,Zha16_no_2_tors,77358,4,4,4,0,0,0,UNCHANGED
77361a1,Zha16_no_2_tors,77361,6,6,6,0,0,0,UNCHANGED
77362a1,CLZ20,77362,1,1,1,0,0,0,UNCHANGED
77379c1,Zha16_no_2_tors,77379,21,21,21,0,0,0,UNCHANGED
77381a1,Zha16_no_2_tors,77381,14,14,14,0,0,0,UNCHANGED
77394a1,CLZ20,77394,1,1,1,0,0,0,UNCHANGED
77394c1,Zha16_no_2_tors,77394,8,8,8,0,0,0,UNCHANGED
77423a1,Zha16_no_2_tors,77423,12,12,12,0,0,0,UNCHANGED
77430a1,Zha16_no_2_tors,77430,2,2,2,0,0,0,UNCHANGED
77430d1,Zha16_no_2_tors,77430,2,2,2,0,0,0,UNCHANGED
77434b1,Zha16_no_2_tors,77434,9,9,9,0,0,0,UNCHANGED
77453a1,Zha16_no_2_tors,77453,39,39,28,11,0,0,SHRINK_ONLY
77455b1,Zha16_no_2_tors,77455,10,10,7,3,0,0,SHRINK_ONLY
77467a1,Zha16_no_2_tors,77467,7,7,7,0,0,0,UNCHANGED
77482a1,Zha16_no_2_tors,77482,7,7,7,0,0,0,UNCHANGED
77495a1,Zha16_no_2_tors,77495,11,11,7,4,0,0,SHRINK_ONLY
77495d1,Zha16_no_2_tors,77495,11,11,7,4,0,0,SHRINK_ONLY
77498a1,Zha16_no_2_tors,77498,16,16,16,0,0,0,UNCHANGED
77505c1,Zha16_no_2_tors,77505,8,8,8,0,0,0,UNCHANGED
77555c1,Zha16_no_2_tors,77555,27,27,22,5,0,0,SHRINK_ONLY
7755b1,Zha16_no_2_tors,7755,3,3,3,0,0,0,UNCHANGED
7755e1,Zha16_no_2_tors,7755,3,3,3,0,0,0,UNCHANGED
77565a1,Zha16_no_2_tors,77565,5,5,5,0,0,0,UNCHANGED
77570a1,Zha16_no_2_tors,77570,13,13,11,2,0,0,SHRINK_ONLY
77570b1,Zha16_no_2_tors,77570,13,13,11,2,0,0,SHRINK_ONLY
77578b1,Zha16_no_2_tors,77578,7,7,7,0,0,0,UNCHANGED
77579b1,Zha16_no_2_tors,77579,38,38,24,14,0,0,SHRINK_ONLY
77582b1,Zha16_no_2_tors,77582,19,19,19,0,0,0,UNCHANGED
77583b1,CLZ20,77583,1,1,1,0,0,0,UNCHANGED
77586g1,Zha16_no_2_tors,77586,2,2,2,0,0,0,UNCHANGED
77586l1,Zha16_no_2_tors,77586,2,2,2,0,0,0,UNCHANGED
77590c1,Zha16_no_2_tors,77590,11,11,11,0,0,0,UNCHANGED
77595e1,Zha16_no_2_tors,77595,2,2,2,0,0,0,UNCHANGED
77595j1,Zha16_no_2_tors,77595,3,3,3,0,0,0,UNCHANGED
77595m1,Zha16_no_2_tors,77595,2,2,2,0,0,0,UNCHANGED
77622g1,Zha16_no_2_tors,77622,4,4,4,0,0,0,UNCHANGED
7763a1,Zha16_no_2_tors,7763,16,16,12,4,0,0,SHRINK_ONLY
77645a1,Zha16_no_2_tors,77645,7,7,7,0,0,0,UNCHANGED
77645c1,Zha16_no_2_tors,77645,7,7,7,0,0,0,UNCHANGED
77662f1,Zha16_no_2_tors,77662,3,3,3,0,0,0,UNCHANGED
77673b1,CLZ20,77673,1,1,1,0,0,0,UNCHANGED
77683b1,Zha16_no_2_tors,77683,15,15,15,0,0,0,UNCHANGED
77686a1,Zha16_no_2_tors,77686,4,4,4,0,0,0,UNCHANGED
77749a1,CLZ20,77749,1,1,1,0,0,0,UNCHANGED
77755a1,Zha16_no_2_tors,77755,14,14,14,0,0,0,UNCHANGED
77790e1,Zha16_no_2_tors,77790,5,5,5,0,0,0,UNCHANGED
77790h1,Zha16_no_2_tors,77790,5,5,5,0,0,0,UNCHANGED
