curve_label,twist,source,conductor,reason
101618d1,273,Zha16_no_2_tors,101618,NEW_GCD_3N
101798c1,177,Zha16_no_2_tors,101798,NEW_GCD_3N
101798c1,417,Zha16_no_2_tors,101798,NEW_GCD_3N
101831a1,141,Zha16_no_2_tors,101831,NEW_GCD_3N
101831a1,213,Zha16_no_2_tors,101831,NEW_GCD_3N
101831a1,309,Zha16_no_2_tors,101831,NEW_GCD_3N
101831a1,321,Zha16_no_2_tors,101831,NEW_GCD_3N
101831a1,597,Zha16_no_2_tors,101831,NEW_GCD_3N
101831a1,705,Zha16_no_2_tors,101831,NEW_GCD_3N
101831a1,921,Zha16_no_2_tors,101831,NEW_GCD_3N
101831a1,969,Zha16_no_2_tors,101831,NEW_GCD_3N
10187d1,321,Zha16_no_2_tors,10187,NEW_GCD_3N
10187d1,381,Zha16_no_2_tors,10187,NEW_GCD_3N
10187d1,537,Zha16_no_2_tors,10187,NEW_GCD_3N
10187d1,597,Zha16_no_2_tors,10187,NEW_GCD_3N
10187d1,717,Zha16_no_2_tors,10187,NEW_GCD_3N
10187d1,789,Zha16_no_2_tors,10187,NEW_GCD_3N
10187d1,849,Zha16_no_2_tors,10187,NEW_GCD_3N
101974a1,33,Zha16_no_2_tors,101974,NEW_GCD_3N
101974a1,129,Zha16_no_2_tors,101974,NEW_GCD_3N
101974a1,561,Zha16_no_2_tors,101974,NEW_GCD_3N
101974a1,753,Zha16_no_2_tors,101974,NEW_GCD_3N
10205a1,381,Zha16_no_2_tors,10205,NEW_GCD_3N
10205a1,789,Zha16_no_2_tors,10205,NEW_GCD_3N
10205a1,849,Zha16_no_2_tors,10205,NEW_GCD_3N
102158a1,57,Zha16_no_2_tors,102158,NEW_GCD_3N
102218b1,33,Zha16_no_2_tors,102218,NEW_GCD_3N
102218b1,129,Zha16_no_2_tors,102218,NEW_GCD_3N
102218b1,201,Zha16_no_2_tors,102218,NEW_GCD_3N
102218b1,417,Zha16_no_2_tors,102218,NEW_GCD_3N
102218b1,489,Zha16_no_2_tors,102218,NEW_GCD_3N
102218b1,681,Zha16_no_2_tors,102218,NEW_GCD_3N
102218b1,753,Zha16_no_2_tors,102218,NEW_GCD_3N
102218b1,849,Zha16_no_2_tors,102218,NEW_GCD_3N
102221a1,501,Zha16_no_2_tors,102221,NEW_GCD_3N
102221a1,597,Zha16_no_2_tors,102221,NEW_GCD_3N
102221a1,849,Zha16_no_2_tors,102221,NEW_GCD_3N
102221a1,933,Zha16_no_2_tors,102221,NEW_GCD_3N
102227a1,21,Zha16_no_2_tors,102227,NEW_GCD_3N
102227a1,249,Zha16_no_2_tors,102227,NEW_GCD_3N
102227a1,537,Zha16_no_2_tors,102227,NEW_GCD_3N
102227a1,813,Zha16_no_2_tors,102227,NEW_GCD_3N
102286b1,57,Zha16_no_2_tors,102286,NEW_GCD_3N
102286b1,249,Zha16_no_2_tors,102286,NEW_GCD_3N
102286b1,489,Zha16_no_2_tors,102286,NEW_GCD_3N
102353a1,177,Zha16_no_2_tors,102353,NEW_GCD_3N
102353a1,201,Zha16_no_2_tors,102353,NEW_GCD_3N
102353a1,213,Zha16_no_2_tors,102353,NEW_GCD_3N
102353a1,381,Zha16_no_2_tors,102353,NEW_GCD_3N
102353a1,453,Zha16_no_2_tors,102353,NEW_GCD_3N
102353a1,501,Zha16_no_2_tors,102353,NEW_GCD_3N
102353a1,633,Zha16_no_2_tors,102353,NEW_GCD_3N
10238a1,177,Zha16_no_2_tors,10238,NEW_GCD_3N
10238a1,537,Zha16_no_2_tors,10238,NEW_GCD_3N
10238a1,849,Zha16_no_2_tors,10238,NEW_GCD_3N
102398a1,33,Zha16_no_2_tors,102398,NEW_GCD_3N
102398a1,321,Zha16_no_2_tors,102398,NEW_GCD_3N
102398a1,393,Zha16_no_2_tors,102398,NEW_GCD_3N
102398a1,417,Zha16_no_2_tors,102398,NEW_GCD_3N
102398a1,633,Zha16_no_2_tors,102398,NEW_GCD_3N
102419a1,381,Zha16_no_2_tors,102419,NEW_GCD_3N
102419b1,381,Zha16_no_2_tors,102419,NEW_GCD_3N
102442g1,633,Zha16_no_2_tors,102442,NEW_GCD_3N
10274a1,177,Zha16_no_2_tors,10274,NEW_GCD_3N
10274a1,273,Zha16_no_2_tors,10274,NEW_GCD_3N
10274a1,465,Zha16_no_2_tors,10274,NEW_GCD_3N
10274a1,489,Zha16_no_2_tors,10274,NEW_GCD_3N
10274a1,537,Zha16_no_2_tors,10274,NEW_GCD_3N
10274a1,753,Zha16_no_2_tors,10274,NEW_GCD_3N
